"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Sep 08 09:06:56 UTC 2022","Thu Sep 08 09:07:03 UTC 2022","7093","chromium","main.spec.js","","","","First test: check registration function",""
"passed","Thu Sep 08 09:07:08 UTC 2022","Thu Sep 08 09:07:12 UTC 2022","4110","chromium","main.spec.js","","","","Fourth test: does the forum button work?",""
"passed","Thu Sep 08 09:07:12 UTC 2022","Thu Sep 08 09:07:16 UTC 2022","3484","chromium","main.spec.js","","","","Fifth test: do links to external sites work?",""
"passed","Thu Sep 08 09:07:03 UTC 2022","Thu Sep 08 09:07:06 UTC 2022","2629","chromium","main.spec.js","","","","Second test: check search function",""
"passed","Thu Sep 08 09:07:06 UTC 2022","Thu Sep 08 09:07:08 UTC 2022","2349","chromium","main.spec.js","","","","Third test: does the ower button work?",""
